Name,Code,Type,Desc
FID_EN_JYYB,1626,C,借方营业部
FID_EN_DYYB,1627,C,贷方营业部
FID_EN_JZJYYB,1628,C,借方资金营业部
FID_EN_DZJYYB,1629,C,贷方资金营业部
FID_DJGY,1630,C,登记柜员
FID_SHGY,1631,C,审核柜员
FID_JKHXM,1632,C,借方客户姓名
FID_DKHXM,1633,C,贷方客户姓名
FID_EN_BH,1634,C,资金编号
FID_EN_ZBH,1635,C,资金子编号
FID_ZHDYCS,1636,I,帐户抵押次数
FID_ZBH,1637,C,资金子编号
FID_ZHMC,1638,C,帐户名称
FID_JZHYE,1639,C,借方帐户余额
FID_DZHYE,1640,C,贷方帐户余额
FID_JZXSZ,1641,C,借方最新市值
FID_DZXSZ,1642,C,贷方最新市值
FID_JZCZZ,1643,C,借方资产总值
FID_DZCZZ,1644,C,贷方资产总值
FID_SHTG,1645,C,审核是否通过
FID_JQHYJE,1646,C,已结清合约金额
FID_EN_KHYYB,1647,C,客户营业部
FID_EN_ZJYYB,1648,C,资金营业部
FID_SRYE2,1649,C,上日余额2
FID_ZHYE2,1650,C,帐户余额2
FID_ZPJE2,1651,C,支票金额2
FID_DJJE2,1652,C,冻结金额2
FID_YCDJJE2,1653,C,异常冻结金额2
FID_ZJCQDJ2,1654,C,资金长期冻结2
FID_WJSJE2,1655,C,未交收金额2
FID_KYZJ2,1656,C,可用资金2
FID_KQZJ2,1657,C,可取资金2
FID_XJZC2,1658,C,现金资产2
FID_GPSZ2,1659,C,股票市值2
FID_LX2,1660,C,预计利息2
FID_LXS2,1661,C,预计利息税2
FID_TZLX2,1662,C,透支利息2
FID_RZJE2,1663,C,融资金额2
FID_QSJE_B2,1664,C,回报买清算资金2
FID_QSJE_S2,1665,C,回报卖清算资金2
FID_DRCKJE2,1666,C,当日帐户存款金额2
FID_TZCKJE2,1667,C,当日通知存款金额2
FID_HAVE_ZCXX,1668,C,是否查询资产信息
FID_HAVE_JKCS,1669,C,是否查询融资监控参数
FID_XZDJ,1670,C,限制等级
FID_CCBLXZ,1671,C,持仓比例限制
FID_ZHYJE,1672,C,总合约金额
FID_RZJEBL,1673,C,融资金额比例
FID_RZBLSX,1674,C,融资金额比例限制
FID_SHQD,1675,R,业务审核起点
FID_YWDM,1676,C,业务代码
FID_SHFS,1677,I,审核方式
FID_SHJS,1678,I,审核级数
FID_LCMC,1679,C,流程名称
FID_SHJB,1680,I,审核级别
FID_LGFH,1681,I,临柜复核
FID_HTSH,1682,I,后台审核
FID_LGFHJSDM,1683,C,临柜复核角色代码
FID_JKYWDM,1684,C,接口业务代码
FID_SFJYLX,1685,I,身份校验类型
FID_MBMC,1686,C,模板名称
FID_XSBQ,1687,C,显示标签
FID_FLLB,1688,I,费率类别
FID_GFBDFX,1689,I,股份变动方向
FID_GFJSTS,1690,I,股份交收天数
FID_JHJJKS,1691,C,集合竞价开始时间
FID_JHJJJS,1692,C,集合竞价结束时间
FID_JJJYBZ,1693,I,净价交易标志
FID_JSFBZ,1694,I,经手费标志
FID_JYZT,1695,I,交易状态
FID_JYKZ,1696,I,交易控制
FID_QSDZ,1697,C,券商地址
FID_SHSBBZ,1698,C,上海申报标志
FID_SZSBBZ,1699,C,深圳申报标志
FID_SZCDBZ,1700,C,深圳撤单标志
FID_SWKSSJ,1701,C,上午开市时间
FID_SWBSSJ,1702,C,上午闭市时间
FID_XWKSSJ,1703,C,下午开市时间
FID_XWBSSJ,1704,C,下午闭市时间
FID_SJXZ,1705,I,时间限制
FID_XJFS,1706,I,限价方式
FID_ZJBDFX,1707,I,资金变动方向
FID_ZJJSTS,1708,I,资金交收天数
FID_XGDM,1709,C,相关代码
FID_PCKZ,1710,C,平仓控制
FID_JSFS,1711,C,结算方式
FID_XWLX,1712,C,席位类型
FID_JGDW,1713,C,价格单位
FID_MCJG,1714,R,卖出价格
FID_KCDW,1715,C,开仓单位
FID_JYBM,1716,C,交易编码
FID_TZLB,1717,C,投资类别
FID_KPBZ,1718,C,开平标志
FID_RQJEBL,1719,R,融券金额比例
FID_BZJ,1720,C,保证金
FID_JYSBZJ,1721,C,交易所保证金
FID_JGSL,1722,C,交割数量
FID_LJZK,1723,C,累计折扣
FID_FXL,1724,C,风险率
FID_ZFXL,1725,C,昨风险率
FID_PCSL,1726,C,平仓数量
FID_PCYK,1727,C,平仓盈亏
FID_PCRQ,1728,C,平仓日期
FID_CCWTH,1729,C,持仓委托号
FID_GSDM,1730,C,公司代码
